-35:17:28|||Counting down to launch
092:08:53|T|CMP|Okay.
092:08:55|C|Kerwin|Okay. The next one, two, three are the same, and we want VHF AM B to center. Over.
092:09:06|T|CMP|Got it.
092:09:08|C|Kerwin|The next one, two, three, four are the same, and we want S-BAND SQUELCH to OFF, and FUEL CELL REACTANT VALVE, to NORMAL. Over.
092:09:22|T|CMP|Okay.
092:09:23|C|Kerwin|Okay. The next one, two, three are the same, and then we want TAPE RECORDER FORWARD to center; TAPE MOTION talkback, barber pole; SCE POWER to center; and PMP POWER to center. Over.
092:09:46|T|CMP|Okay.
092:09:47|C|Kerwin|Okay. Skip the next one, and we want AC INVERTER 1 to OFF, and AC INVERTER 2 to OFF. Over.
092:10:01|T|CMP|Okay.
092:10:02|C|Kerwin|Okay. Skip the next one, and we want INVERTER 1 AC 1 to OFF, and skip two and we want AC 1 RESET to OFF. Over.
092:10:14|T|CMP|Okay.
092:10:15|C|Kerwin|Okay. Skip 1, and we want INVERTER 2 AC 2 to OFF; and skip 1, and we want AC 2, BUS to RESET - AC 2 BUS RESET to OFF.
092:10:34|T|CMP|Okay.
092:10:35|C|Kerwin|That was AC 2 BUS RESET, wasn't it? Okay. Skip the next one, and on panel 4, we want SPS GAGING to OFF; TELCOM GROUP 1 to OFF; TELCOM GROUP 2 to OFF; and GLYCOL PUMPS to OFF. Over.
092:11:00|T|CMP|Okay. Reading back. UP TELEMETRY COMMAND to OFF; VHF AM B, center; S-BAND SQUELCH to OFF; FUEL CELL REACS VALVES to NORMAL; TAPE RECORDER FORWARD, center; TAPE MOTION, barberpole; SCE POWER, center; PMP POWER, center; AC INVERTER 1, OFF; AC INVERTER 2, OFF; INVERTER 1 to AC 1, OFF; AC 1 RESET, OFF; INVERTER 2 to AC 2, OFF; AC 2 BUS RESET, OFF; and coming to panel 4, SPS GAGING; TELCOM, GROUP 1; TELCOM, GROUP 2; and GLYCOL PUMPS all OFF.
092:12:03|C|Kerwin|Okay. That's correct on 1-5, Jack. Let's go to the 1-6. And the first line we want SUIT COMPRESSORS, both, to OFF. Over.
092:12:46|C|Kerwin|Okay, Jack; Houston. It's noisy again; I didn't copy your Roger on that.
092:12:55|T|CMP|Okay. How do you read now, Joe?
092:12:58|C|Kerwin|You're loud and clear now, and let's go to panel 5. We want FUEL CELL PUMPS AC 1, OFF; AC 2, OFF; and that's the FUEL CELL 1 PUMPS, AC 1, OFF; FUEL CELL 2 PUMPS, AC 2, OFF; FUEL CELL 3 PUMPS, AC 2, OFF; G/N POWER, OFF, and both the Main Bus Ties OFF. Over.
092:13:27|T|CMP|Okay.
092:13:28|C|Kerwin|Okay. Skip two, and then we want INTERIOR INTEGRAL LIGHTING, OFF; and INTERIOR FLOODLIGHT, OFF. Scratch out "Full dim or full bright." Over.
092:13:45|T|CMP|Okay.
092:13:47|C|Kerwin|Okay. And circuit breakers on panel 5 we want all open. Over.
092:14:08|T|CMP|Okay.
092:14:15|C|Kerwin|Okay. On panel 6, skip the first one. We want POWER to OFF, and skip down then to SUIT POWER to OFF. Over.
092:14:26|T|CMP|All right.
092:14:27|C|Kerwin|Okay. On panel 7 we want EDS POWER, OFF. TVC SERVO POWER 1 and 2, OFF; FDAI/GPI POWER, OFF; and LOGIC 2 slash 3 POWER, OFF. Over.
092:14:49|T|CMP|Okay. I'll read back. SUIT COMPRESSOR 1 and 2, OFF; FUEL CELL PUMPS 1, 2, and 3, OFF; G/N POWER, OFF; both Main Bus TIES, OFF; INTERIOR INTEGRAL LIGHTING, OFF; INTERIOR FLOODLIGHTING, OFF; then coming down, all circuit breakers on panel 5 open; panel 6, the POWER should be OFF; SUIT POWER should be OFF; panel 7, all 5 of those switches should be OFF.
092:15:39|C|Kerwin|Okay, Jack. That's correct. Go to page 1-7. SCS ELECTRONICS POWER, OFF; SCS SIGNAL CONDITIONER/DRIVER BIAS 1 and 2, OFF; and BMAG POWER, both, OFF; and DIRECT O<sub>2</sub> valve to close. Over.
092:16:08|T|CMP|Okay. SCS ELECTRONICS POWER, OFF; both SIGNAL CONDITIONER/DRIVER BIAS POWER, OFF; BMAG POWER, two of them OFF; DIRECT O<sub>2</sub> close.
092:16:21|C|Kerwin|Okay. Now on panel 8, I'm going to have to read you a number of circuit breakers that we want open, and so start with CB panel 8 all closed except leave the two that we have there CM/RCS HEATERS, open, and FLOAT BAG open, and add the following. I'll read them up one at a time, and you can Roger. SCS LOGIC BUS, four, to open. Over.
092:16:52|T|CMP|SCS LOGIC BUS, four, open.
092:16:56|C|Kerwin|Right. SPS PITCH and YAW, four, to open.
092:17:10|T|CMP|SPS PITCH and YAW, four, to open.
092:17:13|C|Kerwin|Roger. SPS GAGING, four, to open.
092:17:26|T|CMP|SPS GAGING, four, open.
092:17:31|C|Kerwin|Okay. And SEQ ARM, two, open.
092:17:53|T|CMP|Okay. Are you with me? SEQ ARM, two of them open.
092:17:58|C|Kerwin|Roger. The next is EDS, three, to open.
092:18:05|T|CMP|EDS, three, open.
092:18:08|C|Kerwin|Roger. The next are ELS BAT A, BAT B, two, open.
092:18:27|T|CMP|ELS BAT A and BAT B, two of them, open.
092:18:30|C|Kerwin|Roger. POSTLANDING VENT FLIGHT slash POSTLANDING to open.
092:18:50|T|CMP|Okay. POSTLANDING and POSTLANDING VENT, open.
092:18:57|C|Kerwin|Okay. That was the - Yes, the POSTLANDING VENT, that's FLT/PI, to open. The next are SCS DIRECT ULLAGE, two, to open.
092:19:15|T|CMP|SCS DIRECT ULLAGE, two, open.
092:19:21|C|Kerwin|That's correct, and the next ones are SM RCS HEATER A MAIN B, and HEATER C MAIN B, open.
092:19:45|T|CMP|Okay, SERVICE MODULE RCS HEATER MAIN B, open, and HEATER C MAIN B, open.
092:19:53|C|Kerwin|That's correct, and SM RCS HEATER B MAIN A, open, and HEATER D MAIN A, open. Over.
092:20:22|T|CMP|Okay. Got those, too.
092:20:25|C|Kerwin|Okay, Jack. That's the last of the additions to this page. Go back to the regular checklist, and go to the AUTO RCS SELECT switches. We want all 16 of them open. Over. That is OFF.
092:20:43|T|CMP|Okay. Okay. They're sitting at OFF right now. All 16 AUTO RCS switches OFF.
092:20:57|C|Kerwin|Okay. Then we go down to interior NUMERIC LIGHTING, OFF: INTERIOR INTEGRAL LIGHTING, OFF; and INTERIOR FLOOD LIGHTING, OFF. Over.
092:21:13|T|CMP|Okay.
092:21:15|C|Kerwin|Okay. Skip 3. We want SECs LOGIC, two OFF, down, and SECs PYRO ARM, two OFF, down. Over.
092:21:31|T|CMP|Okay.
092:21:33|C|Kerwin|Okay, and on panel 9: POWER to OFF. Over.
092:21:42|T|CMP|All right.
092:21:49|C|Kerwin|Okay, Jack. I don't think you need to read back all the circuit breakers because we copied them as you went. If you just want to read back - the panel 8, panel 9 changes.
092:22:05|T|CMP|All right, let's do it. SCS ELECTRONICS POWER, OFF. SIG COND DRIVERS ... panel 8. All 16 RCS switches, OFF. INTERIOR NUMERICS LIGHTING, OFF; INTERIOR INTEGRAL, OFF; INTERIOR FLOOD LIGHTING, OFF. SPS LOGIC, two, down and OFF. PYRO ARM, down and OFF. Then panel 9 is POWER to OFF.
092:22:42|C|Kerwin|Okay; that's correct, Jack. Let's go to page 1-8. In the second line, SUIT POWER's OFF. Over.
092:23:12|T|CMP|Okay.
092:23:20|C|Kerwin|Okay, Jack. comm sounds a little  -
092:23:23|T|CMP|-  ... too many changes here.
092:23:28|C|Kerwin|-  comm sounds better now, Jack  -
092:23:30|T|CMP|Okay, we're back. We  -
092:23:32|C|Kerwin|Good. SUIT POWER was OFF, and then go to panel 10, POWER, OFF, and SUIT POWER, OFF. Over.
092:23:42|T|CMP|Okay. I got it.
092:23:44|C|Kerwin|Okay. And that's the only changes on pages 1-8. Over.
092:23:51|T|CMP|Okay. SUIT POWER, OFF; panel 10, POWER and SUIT POWER, OFF.
092:23:57|C|Kerwin|That's correct. Go to page 1-9 and on panel 100, skip the first four. We want IMU POWER, OFF. Over.
092:24:11|T|CMP|Okay.
092:24:12|C|Kerwin|Okay. Skip the next one, and we want NUMERICS LIGHTING, OFF; FLOOD LIGHTS, OFF; and INTEGRAL LIGHTS, OFF. Over.
092:24:25|T|CMP|All right.
092:24:26|C|Kerwin|Okay. On panel 101, skip the first three. We want URINE DUMP to OFF, and WASTE WATER DUMP to OFF. Over.
092:24:39|T|CMP|Got it.
092:24:41|C|Kerwin|Okay. On panel 122, the only change is CONDITION LAMPS to OFF. Over.
092:24:51|T|CMP|All right.
092:24:53|C|Kerwin|Okay. Panel 162, no change. Panel 163, no change. Now add, in panel 201, FOOD WARMER to OFF. Over.
092:25:13|T|CMP|Okay. Got it.
092:25:14|C|Kerwin|Okay. On panel 225. It will read the same except I have three additional circuit breakers that we want open, and I'll read them up one at a time. The first one is S-BAND FM TRANSMITTER DSE, GROUP 1, open. Over.
092:25:46|T|CMP|S-BAND TRANSMITTER DSE, GROUP 1, open.
092:25:51|C|Kerwin|Roger that. The next one is FLIGHT BUS, MAIN A and MAIN B, and that's two breakers, both open.
092:26:06|T|CMP|FLIGHT BUS, MAIN A and FLIGHT BUS, MAIN B, two of them, open.
092:26:13|C|Kerwin|Okay. That's correct. The last change is CTE, both open. Over.
092:26:26|T|CMP|Could you say that again?
092:26:29|C|Kerwin|Affirmative. CENTRAL TIMING EQUIPMENT, CTE, both open. Over.
092:26:37|T|CMP|Okay, CTE, two, open.
092:26:41|C|Kerwin|Affirmative. And that's all the changes on page 1-9.
092:26:48|T|CMP|Okay. Let me read it back here. Panel 100, IMU POWER, OFF. NUMERICS LIGHTING, FLOOD LIGHTING, and INTEGRAL LIGHTING, three of them, OFF. Panel 101, URINE DUMP HEATERS, URINE DUMP to OFF, WASTE H<sub>2</sub>O to OFF. Panel 122, CONDITION LAMPS, OFF. Panel 201, FOOD WARMER, OFF. Panel 225, add additions that I read: S-BAND TRANSMITTER DSE, GROUP 1; FLIGHT BUS, MAIN A and MAIN B, CET, two to open.
092:27:27|C|Kerwin|Okay. That's correct, Jack. Let's go to page 1-10. And on panel 226  -
092:27:33|T|CMP|All right. We are going to switch OMNI. Wait, Joe, we're switch on the OMNI.
092:27:39|C|Kerwin|Okay.
092:27:51|T|CMP|Okay. How you reading?
092:27:53|C|Kerwin|Okay. Satisfactory, Jack. You ready for panel 226?
092:27:59|T|CMP|Let's go.
092:28:00|C|Kerwin|Okay. On panel 226, we want all open except; so change word "Closed" to "Open" and then scratch out the next three lines because we want them open, too. Over.
092:28:18|T|CMP|Okay. All open except and you're going to give the ones you want open.
092:28:24|C|Kerwin|Right. I'll give you the opens now. We want LIGHTING: FLOOD, MAIN A, MAIN B, and FLIGHT/POSTLANDING, closed.
092:28:51|T|CMP|Okay. LIGHTING: FLOOD, MAIN A; LIGHTING: FLOOD, MAIN B, closed; and FLIGHT/POSTLANDING, closed.
092:28:59|C|Kerwin|Roger, Jack. EECOM tells me that's all one circuit breaker, and the next one is LIGHTING: NUMERICS/INTEGRAL, LEB AC2, L MDC-AC1, and R MDC-AC1 to closed, and that's one circuit breaker also.
092:29:26|T|CMP|Okay. I don't know whether I can read that all back. Okay, LIGHTING: NUMERIC/INTEGRAL and I didn't get the rest of it, Joe  -
092:29:40|C|Kerwin|Okay. Stand by 1 second while I make damn sure about this.
092:30:17|P|PAO|This is Apollo Control. We're anticipating a change of shift press conference with the Maroon Team Flight Director Milton Windler and Maroon Team Retrofire Officer, Tom Weichel within the next 10 or 15 minutes in the main auditorium. Apollo 13 now 183,306 nautical miles out from Earth; velocity 3,907. Medical status now: Lovell had about 3 hours plus sleep during the night; Swigert had 8 hours; Haise has been asleep 6 hours and still sleep at this time.
092:30:59|C|Kerwin|Jack, Houston. Over.
092:31:02|T|CMP|Go ahead.
092:31:04|C|Kerwin|Okay. On the 226 circuit breakers that I read up, they are - there are six circuit breakers involved and they're all - they're the first six from the left on the bottom row of the panel. They're under LIGHTING. We want the three FLOOD circuit breakers out and the three NUMERIC/INTEGRAL circuit breakers - I don't mean out, I mean closed. Those six closed and the rest open. Over.
092:31:39|T|CMP|Okay. There are three FLOOD circuit breakers and three NUMERIC circuit breakers and you want all six of those closed.
092:31:49|C|Kerwin|That's affirmative, Jack, and all the rest open. Okay. Panel 227, no change, and panel 229, one addition to the circuit breakers we want open, and those are the TIMERS, MAIN A and MAIN B, two, to open. Over.
092:32:20|T|CMP|Okay. Okay, you want the TIMING circuit breakers, two of them, open.
092:32:24|C|Kerwin|That's affirmative. Okay. On panel 250  -
092:32:27|T|CMP|-  panel 229.
092:32:29|C|Kerwin|-  we want all closed except, and then scratch out all the ones that are there. Over.
092:32:40|T|CMP|Okay. All closed except. Okay. I'm ready to copy.
092:32:50|C|Kerwin|Wait 1 minute. Yes, EECOM caught me; I said that wrong. We want you to change the word "Closed" to "Open," and then scratch out the ones that are there. Over.
092:33:03|T|CMP|Okay. All open except.
092:33:10|C|Kerwin|Okay. The two that we want closed are SEQUENCER A and SEQUENCER B. Over.
092:33:37|T|CMP|Okay, Panel 250.
092:33:42|C|Kerwin|Say again, Jack. comm is just improving.
092:33:48|T|CMP|Okay. I had to switch OMNIs here. And the two you want all open on panel 250 except SEQUENCE A and SEQUENCE B.
092:33:59|C|Kerwin|That's correct. Panel 251, no change; panel 252, WASTE STOWAGE VENT valve, closed. Over.
092:34:12|T|CMP|WASTE STOWAGE VENT valve, closed.
092:34:15|C|Kerwin|Roger. And, on panel 275, we want all the circuit breakers open; no exceptions. Over.
092:34:26|T|CMP|Panel 275, all open; no exceptions.
092:34:30|C|Kerwin|Okay, and that's all for page 1-10. You want to read any of that back? I think you've got it all.
092:34:39|T|CMP|No, I think I've got it all.
092:34:41|C|Kerwin|Okay. Let's go to page 1-11. On panel 276, no change; on panel 278, we want all circuit breakers open; no exceptions. Over.
092:34:57|T|CMP|Panel 278, all open.
092:35:00|C|Kerwin|Roger. Now we'll skip all the way down to panel 306 where we want the MISSION TIMER to STOP and the EVENT TIMER to STOP. Over.
092:35:23|T|CMP|Okay. Panel 306, MISSION TIMER, STOP; and EVENT TIMER, STOP.
092:35:28|C|Kerwin|Okay. And those are all the changes on 1-11, Jack.
092:35:35|T|CMP|Okay. Ready for 1-12.
092:35:37|C|Kerwin|Okay. On page 1-12, panel 325, we want both CABIN PRESSURE RELIEF valves to NORMAL. Over.
092:35:49|T|CMP|Okay. Both to NORMAL.
092:35:52|C|Kerwin|Okay. On panel 326, we want the REPRESS PACKAGE valves to OFF; the SM O<sub>2</sub> SUPPLY valves to OFF; the SURGE TANK O<sub>2</sub> valve to OFF. Over.
092:36:10|T|CMP|Okay. REPRESS, SERVICE MODULE O<sub>2</sub> SUPPLY, SURGE TANK O<sub>2</sub>, three of them, to OFF.
092:36:19|C|Kerwin|Roger. You did include the REPRESS PACKAGE there. Okay, GLYCOL RESERVOIR IN valve to CLOSED. BYPASS to OPEN, and OUT valve to CLOSED. Over.
092:36:37|T|CMP|Okay. GLYCOL RESERVOIR IN valve CLOSED; BYPASS valve OPEN; and RESERVOIR OUT valve CLOSED.
092:36:51|C|Kerwin|That's affirmative. Panel 350, no change. Panel 351, MAIN REGULATOR valves, two, to CLOSED, and the H<sub>2</sub>O/GLYCOL TANK PRESSURE REGULATOR valve, OFF, and RELIEF valve, OFF. Over.
092:37:17|T|CMP|Okay. MAIN REG valve, two, to CLOSED. WATER/GLYCOL TANK PRESSURE REG and RELIEF valves, both OFF.
092:37:27|C|Kerwin|Okay. That's affirm. Those are the last changes on 1-12. Let's go to 1-13.
092:37:35|T|CMP|Okay. Ready to copy.
092:37:37|C|Kerwin|Okay. Go down to panel 380, O<sub>2</sub> DEMAND REG valve, OFF, and SUIT CIRCUIT RETURN VALVE, pulled to OPEN. Over.
092:37:56|T|CMP|Okay, both O<sub>2</sub> DEMAND - DEMAND REG valves are OFF and SUIT CIRCUIT RETURN VALVE pulled OPEN.
092:38:05|C|Kerwin|That's correct. Go to panel 382. The first one, two, three, four are unchanged. We want SEC EVAP H<sub>2</sub>O CONTROL valve OFF, and PRIM EVAP H<sub>2</sub>O CONTROL valve to OFF. Those both are both counterclockwise. Over.
092:38:35|T|CMP|Okay, Houston. Reading back 382, SECONDARY EVAPORATOR H<sub>2</sub>O CONTROL valve's OFF, and PRIMARY EVAPORATOR H<sub>2</sub>O CONTROL valve, OFF.
092:38:49|C|Kerwin|That's correct. Those are the only changes on 1-13, and there are no changes on 1-14, and you've got it all, Jack. Over.
092:39:01|T|CMP|Okay. Real good, Joe. No further configures for that panel.
092:39:08|C|Kerwin|Okay. You can get those configures when you can. And the next order of business I've got for you is a procedure to verify that MAIN BUS B is good. And a little after that, we'll want to read up to you, for your future information, a procedure for transferring LM power to the Command Module. Over.
092:39:33|T|CMP|Okay. That sounds good. You want to get this PLSS configuration done first before you give those other procedures, huh?
092:39:44|C|Kerwin|Yes, I think so. Stand by 1 second and I'll see if FLIGHT has any words for us before you start that.
092:40:22|C|Kerwin|Jack, Houston. Over.
092:40:26|T|CMP|Go ahead.
092:40:27|C|Kerwin|Okay, we don't have anything for you. Our only concern is that you'll wake up somebody; is there anybody sleeping right now?
092:40:37|T|CMP|No. We're all sitting here eating. I'm just going to get a bite to eat. Then I'll write down that switch configuration, or I'll copy the procedure now, if you want.
092:40:48|C|Kerwin|Yes, okay. Understand they are all up. Did you say you wanted to copy the other procedure now? Over.
092:40:57|T|CMP|I can if you want. It's your choice.
092:41:00|C|Kerwin|I'd rather you went ahead with the switch configuration, Jack.
092:41:06|T|CMP|Okay, let's do that and then I'll be back with you.
092:41:10|C|Kerwin|Okay. See you later. And tell Jim that Deke wants him to go to bed.
092:41:21|T|CMP|Okay. I'll tell him that right now.
092:41:24|C|Kerwin|Okay.
092:41:25|T|CMP|I'll tell you, I'll get my switch set done first before I eat so I won't disturb Jim then.
092:41:31|C|Kerwin|Aquarius, Houston. Over.
092:41:36|T|CMP|Go ahead.
092:41:37|C|Kerwin|Stand by 1 minute, Jack, before you go in there. FLIGHT has got one other item for you.
092:41:48|T|CMP|Deke wants you to go to bed.
092:42:16|T|CMP|Right now.
092:42:30|T|CMP|... like that ... I got up about 1 hour ... back in the command module ... go upstairs ...
092:43:31|T|CMP|You know what I thought - I think what we saw venting was the result of our DELTA-Vs stirring up things, popping the relief valve. Yes. We don't see anything venting now. Do we?
092:44:03|T|CMP|Okay, Houston. We are standing by.
092:44:12|C|Kerwin|Aquarius, Houston. Over.
092:44:16|T|CMP|Okay, Joe.
092:44:18|C|Kerwin|Okay, Jack. You can go ahead and set up that switch configuration. What we are discussing is having you activate the Main Bus Tie motor switches a little later on simply to verify that they will be okay, because the batteries are probably getting a little bit cool. But we'll be back to you with a procedure and discussion about that after you get the switch configuration set up. Over.
092:44:47|T|CMP|Okay, I'm going to go get the switch configuration done now before Jim goes to bed so I don't disturb him.
092:44:55|C|Kerwin|Okay. Real fine.
092:45:00|T|CMP|Jim thinks Deke sounds like Frank Borman on Apollo 8.
092:45:04|C|Kerwin|(Laughter) Okay.
092:45:06|C|Slayton|Sorry about that.
092:45:11|T|CMP|I'm going to give the comm to Freddo, now.
092:45:59|T|CDR|Houston, Aquarius.
092:46:02|C|Kerwin|Aquarius, Houston. Go ahead.
092:46:07|T|CDR|Okay, before I hit the sack, Joe, I just want to make sure - How are you still planning an MCC at 107 and what's the latest thought?
092:46:16|C|Kerwin|Okay, Jim. We are still gathering our thoughts on the MCC, but some of the considerations go like this: FIDO tells us that we can do that correction probably as late as 118 hours, with no significant DELTA-V penalty, and with plenty of tracking thereafter to make sure that we've done the right thing, and to set you up for a late MCC if we need it, which we probably wouldn't. We are happy with the PTC mode that you are in now, and, although we are working up a - an AGS PTC mode to use after the midcourse correction, we'd kind of like you to stay in this PTC for a while because it is doing good. We are looking at the weather in the landing area. We don't think we'll have a problem but we are checking it real close, and if there is any changing that we want to do, we want to get it into this midcourse correction. And for reasons like that, we are - we are considering possibly delaying the midcourse correction from 104 hours to some time between there and 118. We'd like to know what you think about it. Over.
092:47:33|T|CDR|We have no druthers. As long as we do the midcourse and there is plenty of tracking thereafter to correct for another midcourse; that's my only concern.
092:47:44|C|Kerwin|Okay, Jim. Roger that. And based on FIDO's input that he'd like to do it not later than 24 hours before EI, we will be doing it prior to 118 hours.
092:47:57|T|CDR|Okay.
092:48:38|T|LMP|Hello, Houston; Aquarius.
092:48:43|C|Kerwin|Aquarius, Houston. Go.
092:48:48|T|LMP|Question, Joe. Jim has been talking to me about how we are going to do this midcourse, and awhile back when we went through this power up, we had pulled the STAB/CONTROL ASA breaker. I was wondering - we lost the heaters in the ASA - I was wondering how it looked? What kind of shape it's going to be in?
092:49:18|C|Kerwin|Okay. Stand by on that one, Fred.
092:49:24|T|LMP|Okay.
092:49:48|C|Kerwin|Fred, Houston.
092:49:52|T|LMP|Go ahead.
092:49:53|C|Kerwin|Roger. I am told that we'd see 38 degrees in that package, and it'll be okay for the burn. We're massaging the detail procedures for this burn at this time and we expect to have a real clean setup to you in plenty of time.
092:50:12|T|LMP|Okay, very good.
092:50:30|T|LMP|And I don't know if Jack passed it on to you, but Jack and I just finished logging about 6 hours sleep, each.
092:50:51|C|Kerwin|Roger, Fred. Copy that. Is it a little chilly up there?
092:50:58|T|LMP|Yes. We made the mistake of putting up the window shades, which we won't do again; and with this powered-down mode, we're not generating much internally, and it really did get chilly.
092:51:13|C|Kerwin|Yes. I guess you'll have to generate your own heat in there for a while.
092:51:19|C|Kerwin|Deke says unstow the Exer-Genie.
092:51:26|T|LMP|Okay.
092:53:46|P|PAO|This is Apollo Control. We are anticipating the start of the change of shift press conference within the next few moments in the Building 1 auditorium (main auditorium). The participants will be the Maroon team Flight Director Milt Windler and retrofire officer from that team Tom Weichel. Changes in procedure - the spacecraft power up and checklist being passed up by Joe Kerwin went to the crew. We've had no bio-medical telemetry in the last several hours from the crew and there's been no report of any medication having been taken by the crew of Apollo 13. Distance now from Earth, 182,390 nautical miles, velocity 3,920 feet per second. Total spacecraft weight 87,942 pounds at 92 hours 54 minutes Ground Elapsed Time and standing by this is Apollo Control.
092:57:47|C|Kerwin|Aquarius, Houston. Over.
092:57:52|T|LMP|Go ahead, Houston.
092:57:54|C|Kerwin|Fred, just wanted to let you know in advance that we're coming up on the redline CO<sub>2</sub> value for the secondary canister, and we expect to get there in something like a half hour, at which time we'll be asking you to switch over to the Command Module canisters. I have the rest of that procedure ready and I just wanted to warn you a little bit in advance. Over.
092:58:20|T|LMP|Okay. And I've got a question for you, Joe.
092:58:25|C|Kerwin|Go ahead.
092:58:31|T|LMP|Okay. The - I need to find out if the condensate container that we were going to use to strain some water in on the lunar surface - is that container also completely airtight? Okay to use it to put fluid in through here in zero g?
092:59:01|C|Kerwin|Fred, I didn't copy what you wanted to use it for. Over.
092:59:09|T|LMP|Okay, ...
092:59:21|C|Kerwin|Fred, Houston. We'll have to stand by for 1 minute. We are in a noisy state of comm.
092:59:29|T|LMP|Okay. How do you read now, Joe?
092:59:31|C|Kerwin|Oh, that's much better. Go ahead.
092:59:36|T|LMP|Okay. I was just going to say we haven't had an overboard waste water dump since clear back around the other side of the Moon. About this time, we're running out of the bags we've got on board here.
093:00:03|C|Kerwin|Okay. I'm - I'm stupid this morning, Fred. I'm not quite sure what you are getting at.
093:00:14|T|LMP|Okay, Joe. We need some place to put the urine.
093:00:18|C|Kerwin|Okay. It sounds to me as if the suggested receptacle is perfectly satisfactory. Do you think you can use it in its present configuration?
093:00:34|T|LMP|Oh, yes. We got all the innerconnects - hookups we need, but I wasn't sure if that gadget was devised solely with the 1/6g environment in mind, and whether it might leak somehow in zero g.
093:00:50|C|Kerwin|I'll have them verify that, but off the top of my head, I'm sure it's going to be all right. We'll check it, Fred.
093:00:59|T|LMP|Okay.
093:05:22|T|LMP|Okay. How do you read, Joe?
093:11:53|T|LMP|Houston, Aquarius.
093:12:01|C|Kerwin|Aquarius, Houston. Go ahead.
093:12:06|T|LMP|Okay, Joe. One thing I've noticed, that a couple of circuits there now - the false stars - that we see, the number of them, is markedly decreased, from when I went upstairs to bed and, apparently, that added venting we had out of the Service Module was some overboard relief valve, maybe letting go, because it appears to have stopped now.
093:12:38|C|Kerwin|Okay, Fred. Copy that. Thank you.
093:23:14|T|LMP|Houston, Aquarius.
093:23:17|C|Kerwin|Aquarius, Houston. Go ahead.
093:23:24|T|LMP|What do you read down there for partial pressure CO<sub>2</sub>?
093:23:29|C|Kerwin|Oh, let's see. We're reading 6.6 right now, Fred. What do you read?
093:23:38|T|LMP|I'm reading about 12.5. I guess we've got a gage problem there maybe? I did just get a Master Alarm and no caution light; we kind of figured that's what it was, with CO<sub>2</sub> approaching its limit. Maybe it didn't quite come out here.
093:23:59|C|Kerwin|Okay. Let me get a Go, and I think it's time for us to go ahead and put these other canisters on. Stand by 1.
093:24:08|T|LMP|Okay. We went to 15 on the primary last night before I changed it and  -
093:24:16|C|Kerwin|Roger that, Fred. We wanted to  -
093:24:18|T|LMP|-  I don't have a steady - I don't have a steady ECS light on at this time, Joe, so it must have just been a momentary.
093:24:28|C|Kerwin|Okay. We know when you went to 15 last night on primary. We want to switch out today at 7.6. Let me check and see if we're ready.
093:24:41|T|LMP|Okay.
093:25:13|T|LMP|Yes. That's what it is, Joe. I've got something going on this alarm ... ECS light.
093:25:24|C|Kerwin|Fred, Houston. The comm isn't too sharp and I didn't copy.
093:26:34|C|Kerwin|Okay, Aquarius; Houston  -
093:26:37|T|LMP|Houston, Aquarius. How do you read?
093:26:38|C|Kerwin|-  Why don't you try it now? You're loud and clear now, Fred.
093:26:42|T|LMP|Okay. I was just - I'm getting Master Alarms every few seconds and I am catching a glimmer now of the ECS light. For the time being, I have MASTER ALarm breaker - or CB open. Okay, now we got the ECS light on steady.
093:27:07|C|Kerwin|Okay. Copy that. You have the Master Alarm, with the ECS light. We are ready to go ahead and get you on the Command Module canisters. And as the first step, I'd like to know whether you've inserted the commander's red hose to the second canister bag. Over.
093:27:29|T|LMP|Okay. Yes. Sure enough; the commander's red hose is inserted into the canister bag.
093:27:39|C|Kerwin|Okay, Fred. The next thing I'd like you to do is to take some more gray tape and tape over half the outlet area of each of the blue nozzles; the commander's and the LMP's. The reason we're doing this is we're going to be running this loop through the secondary LiOH canister hole with the canister removed, and we don't have the flow restriction we need to keep the separator from overspeeding. Over.
093:28:11|T|LMP|Okay. Yes, that's right. So we want to tape over half of the - both the blue and the red commander hoses. Is that right?
093:28:22|C|Kerwin|Negative, Fred. That's half of the Commander's's blue hose and half of the LMP's blue hose - the outlet hoses.
093:28:31|T|LMP|Oh, okay. I'll tape over half of each of the outlets. Stand by.
093:28:37|C|Kerwin|Okay.
093:31:40|T|LMP|Okay. I'm going to turn off one suit flow valve at a time while I am doing the taping, Joe.
093:31:51|C|Kerwin|Say again, please, Fred.
093:31:56|T|LMP|Okay, while I'm doing the taping, I'll have that particular suit flow valve in the suit DISCONNECT position momentarily.
093:32:03|C|Kerwin|Okay. Fine.
093:43:46|T|LMP|Okay. How do you read now, Joe?
093:43:49|C|Kerwin|Okay, Fred. Reasonable comm. Are you ready for the next step? Over.
093:43:57|T|LMP|Okay. One correction - the red hose that's connected up right now to the lithium cartridge in the LMP's - rather than the commanders.
093:44:17|C|Kerwin|Okay, Fred. Understand only the LMP's red hose is actually plugged into the canister bag. In that case, we would like you to follow the procedure for inserting the other red hose in the other canister bag as follows: you cut a diagonal hole in one corner of the bag. Look at the other bag and see how it was done. Stick the hose in about 6 inches. Try to get the outlet nozzle down if you can, or else sideways, and then just tape up the hose to the bag to make a nice tight seal. Over.
093:45:02|T|LMP|Okay. Jack's back in here. I guess he can do that. Stand by.
093:45:08|C|Kerwin|Okay.
093:45:58|T|LMP|How do you read, Joe?
093:46:00|C|Kerwin|Okay, Fred. Is that done? Over.
